direction,control,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instructions.stopped,trial.started,finish.started,trial.stopped,contrast_response,contrast_target,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,0.010086291993502527,0.7083195419982076,,,,,,demo,001,2025-01-06_16h30.16.790,method-of-adjustment,2024.2.4,None,2025-01-06 16h30.21.655789 -0500
1,1,0,0,0,0,0,0,0,0.7206842500017956,,,,0.7147537920100149,0.9937334590067621,8.442215499992017,0.4635508905079828,0.36787944117144233,demo,001,2025-01-06_16h30.16.790,method-of-adjustment,2024.2.4,None,2025-01-06 16h30.21.655789 -0500
-1,-1,1,1,0,0,1,1,3,8.460890584,,,,8.445013041986385,8.689148999983445,12.626880750001874,0.37430347091236627,0.36787944117144233,demo,001,2025-01-06_16h30.16.790,method-of-adjustment,2024.2.4,None,2025-01-06 16h30.21.655789 -0500
-1,1,2,2,0,0,2,2,1,12.638993917003972,,,,12.628778958984185,12.872698749997653,17.359670875011943,0.26341824627453564,0.36787944117144233,demo,001,2025-01-06_16h30.16.790,method-of-adjustment,2024.2.4,None,2025-01-06 16h30.21.655789 -0500
1,-1,3,3,0,0,3,3,2,17.372373958991375,,,,17.361427625000942,17.605807209009072,21.95655117,0.3180263044385455,0.36787944117144233,demo,001,2025-01-06_16h30.16.790,method-of-adjustment,2024.2.4,None,2025-01-06 16h30.21.655789 -0500
-1,-1,4,0,1,1,0,4,3,21.96358899999177,,,,21.95839620899642,22.19661079198704,27.641892124986043,0.3053323636442596,0.36787944117144233,demo,001,2025-01-06_16h30.16.790,method-of-adjustment,2024.2.4,None,2025-01-06 16h30.21.655789 -0500
-1,1,5,1,1,1,1,5,1,27.65564033400733,,,,27.64516575000016,27.889120459003607,31.429663958988385,0.3363466230250475,0.36787944117144233,demo,001,2025-01-06_16h30.16.790,method-of-adjustment,2024.2.4,None,2025-01-06 16h30.21.655789 -0500
1,1,6,2,1,1,2,6,0,31.43892445898382,,,,31.431467041984433,31.679389291995903,34.62321379198693,0.34501934669345785,0.36787944117144233,demo,001,2025-01-06_16h30.16.790,method-of-adjustment,2024.2.4,None,2025-01-06 16h30.21.655789 -0500
1,-1,7,3,1,1,3,7,2,34.62848991699866,,,,34.62513425000361,34.86328337498708,37.391690791992005,0.3229214312737689,0.36787944117144233,demo,001,2025-01-06_16h30.16.790,method-of-adjustment,2024.2.4,None,2025-01-06 16h30.21.655789 -0500
1,-1,8,0,2,2,0,8,2,37.401390459010145,,,,37.39464691700414,37.63914254200063,40.39073370900587,0.32456982704637183,0.36787944117144233,demo,001,2025-01-06_16h30.16.790,method-of-adjustment,2024.2.4,None,2025-01-06 16h30.21.655789 -0500
-1,-1,9,1,2,2,1,9,3,40.39874750000308,,,,40.39301808399614,40.63907258398831,43.72527266701218,0.3295656731386737,0.36787944117144233,demo,001,2025-01-06_16h30.16.790,method-of-adjustment,2024.2.4,None,2025-01-06 16h30.21.655789 -0500
-1,1,10,2,2,2,2,10,1,43.73246445899713,,,,43.727216792001855,43.97243975001038,49.90832216700073,0.26476290005571285,0.36787944117144233,demo,001,2025-01-06_16h30.16.790,method-of-adjustment,2024.2.4,None,2025-01-06 16h30.21.655789 -0500
1,1,11,3,2,2,3,11,0,49.91624342,,,,49.91035683400696,50.155641249992186,55.941063834005035,0.3295656731386737,0.36787944117144233,demo,001,2025-01-06_16h30.16.790,method-of-adjustment,2024.2.4,None,2025-01-06 16h30.21.655789 -0500
1,-1,12,0,3,3,0,12,2,55.95573250000598,,,,55.94301170899416,56.189249624992954,59.97492291699746,0.27859279669974946,0.36787944117144233,demo,001,2025-01-06_16h30.16.790,method-of-adjustment,2024.2.4,None,2025-01-06 16h30.21.655789 -0500
-1,1,13,1,3,3,1,13,1,59.984410875011235,,,,59.978398459003074,60.239515916997334,64.32488070899853,0.35936324102400663,0.36787944117144233,demo,001,2025-01-06_16h30.16.790,method-of-adjustment,2024.2.4,None,2025-01-06 16h30.21.655789 -0500
-1,-1,14,2,3,3,2,14,3,64.33235729200533,,,,64.32685942,64.57308737499989,67.90873079,0.3329388851203318,0.36787944117144233,demo,001,2025-01-06_16h30.16.790,method-of-adjustment,2024.2.4,None,2025-01-06 16h30.21.655789 -0500
1,1,15,3,3,3,3,15,0,67.92242779198568,,,,67.91046641700086,68.15571116699721,71.57376966701122,0.4081459915183698,0.36787944117144233,demo,001,2025-01-06_16h30.16.790,method-of-adjustment,2024.2.4,None,2025-01-06 16h30.21.655789 -0500
-1,-1,16,0,4,4,0,16,3,71.58904604200507,,,,71.57561299999361,71.82234858398442,75.47881929200958,0.376214153,0.36787944117144233,demo,001,2025-01-06_16h30.16.790,method-of-adjustment,2024.2.4,None,2025-01-06 16h30.21.655789 -0500
1,-1,17,1,4,4,1,17,2,75.48888529199758,,,,75.48086666699965,75.72907141700853,78.32376391699654,0.35391569721190796,0.36787944117144233,demo,001,2025-01-06_16h30.16.790,method-of-adjustment,2024.2.4,None,2025-01-06 16h30.21.655789 -0500
-1,1,18,2,4,4,2,18,1,78.33906104200287,,,,78.32562541699735,78.57272766699316,81.22550087500713,0.25679672292794464,0.36787944117144233,demo,001,2025-01-06_16h30.16.790,method-of-adjustment,2024.2.4,None,2025-01-06 16h30.21.655789 -0500
1,1,19,3,4,4,3,19,0,81.23899492,,,,81.22845237498404,81.47229116701055,83.82437962500262,0.2887013473241822,0.36787944117144233,demo,001,2025-01-06_16h30.16.790,method-of-adjustment,2024.2.4,None,2025-01-06 16h30.21.655789 -0500
