contrast,thisN,thisTrialN,thisRepN,response.keys,response.rt,response.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_experiment.started,begin_experiment.stopped,trial.started,grating.started,grating.stopped,response.started,polygon.started,trial.stopped,trials.response.keys,trials.response.rt,trials.response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.008757832983974367,0.9553821249864995,,,,,,,,,,demo,001,2025-01-06_16h02.30.014,method_of_constant_stimuli,2024.2.4,None,2025-01-06 16h02.35.739054 -0500,
0.0,0,0,0,down,0.8141657079977449,None,0,0,0,0,0.964780249982141,,,,0.9599656659993343,1.0855847499915399,1.586972582997987,1.7035354579857085,1.7035354579857085,2.5224244999990333,down,0.8141657079977449,None,demo,001,2025-01-06_16h02.30.014,method_of_constant_stimuli,2024.2.4,None,2025-01-06 16h02.35.739054 -0500,
0.1,1,1,0,up,0.2137388330011163,None,0,1,1,6,2.5309308329888154,,,,2.523923874978209,2.6366639579937328,3.1241387499903794,3.2700252499780618,3.2700252499780618,3.488259665988153,up,0.2137388330011163,None,demo,001,2025-01-06_16h02.30.014,method_of_constant_stimuli,2024.2.4,None,2025-01-06 16h02.35.739054 -0500,
0.001,2,2,0,up,0.08673233300214633,None,0,2,2,4,3.4965152499789838,,,,3.4897116659849416,3.608768207981484,4.107247499981895,4.236882208002498,4.236882208002498,4.3257814579992555,up,0.08673233300214633,None,demo,001,2025-01-06_16h02.30.014,method_of_constant_stimuli,2024.2.4,None,2025-01-06 16h02.35.739054 -0500,
1e-09,3,3,0,down,0.4211467069981154,None,0,3,3,1,4.3422507909999695,,,,4.3273183749988675,4.475324957980774,4.97439704099088,5.074589665979147,5.074589665979147,5.505773082986707,down,0.4211467069981154,None,demo,001,2025-01-06_16h02.30.014,method_of_constant_stimuli,2024.2.4,None,2025-01-06 16h02.35.739054 -0500,
1.0,4,4,0,up,0.18632954100030474,None,0,4,4,7,5.513978874980239,,,,5.507376041001407,5.608967165986542,6.106366416002857,6.253244499996072,6.253244499996072,6.441965290985536,up,0.18632954100030474,None,demo,001,2025-01-06_16h02.30.014,method_of_constant_stimuli,2024.2.4,None,2025-01-06 16h02.35.739054 -0500,
0.01,5,5,0,up,0.1990793320001103,None,0,5,5,5,6.453222040989203,,,,6.443354499991983,6.56983537497581,7.057524457981344,7.191483040980529,7.191483040980529,7.391913125000428,up,0.1990793320001103,None,demo,001,2025-01-06_16h02.30.014,method_of_constant_stimuli,2024.2.4,None,2025-01-06 16h02.35.739054 -0500,
1e-05,6,6,0,up,2.189092748973053,None,0,6,6,3,7.403321124991635,,,,7.393306207988644,7.50927991597564,8.006460999982664,8.136438957997598,8.136438957997598,10.339173540996853,up,2.189092748973053,None,demo,001,2025-01-06_16h02.30.014,method_of_constant_stimuli,2024.2.4,None,2025-01-06 16h02.35.739054 -0500,
1e-07,7,7,0,up,0.6164640830247663,None,0,7,7,2,10.34749529097462,,,,10.34061099999235,10.459491290996084,10.957139082980575,11.08696908300044,11.08696908300044,11.711463749990799,up,0.6164640830247663,None,demo,001,2025-01-06_16h02.30.014,method_of_constant_stimuli,2024.2.4,None,2025-01-06 16h02.35.739054 -0500,
0.01,8,0,1,up,1.0691021659877151,None,1,0,8,5,11.719798374979291,,,,11.712945374980336,11.853157499979716,12.340623165975558,12.458320165984333,12.458320165984333,13.538105749990791,up,1.0691021659877151,None,demo,001,2025-01-06_16h02.30.014,method_of_constant_stimuli,2024.2.4,None,2025-01-06 16h02.35.739054 -0500,
0.001,9,1,1,up,0.7247964989801403,None,1,1,9,4,13.546282249997603,,,,13.539432290999684,13.703404207975836,14.191604332998395,14.286653957999079,14.286653957999079,15.02198729099473,up,0.7247964989801403,None,demo,001,2025-01-06_16h02.30.014,method_of_constant_stimuli,2024.2.4,None,2025-01-06 16h02.35.739054 -0500,
0.1,10,2,1,up,0.7363112909952179,None,1,2,10,6,15.030392832995858,,,,15.02357233298244,15.186584499984747,15.673872249986744,15.770057791,15.770057791,16.509225874993717,up,0.7363112909952179,None,demo,001,2025-01-06_16h02.30.014,method_of_constant_stimuli,2024.2.4,None,2025-01-06 16h02.35.739054 -0500,
1e-09,11,3,1,down,0.7428103319834918,None,1,3,11,1,16.5198447079747,,,,16.510667041002307,16.619942833000096,17.107687624986283,17.258619624975836,17.258619624975836,18.00542858298286,down,0.7428103319834918,None,demo,001,2025-01-06_16h02.30.014,method_of_constant_stimuli,2024.2.4,None,2025-01-06 16h02.35.739054 -0500,
1.0,12,4,1,up,0.45676083202124573,None,1,4,12,7,18.01388041599421,,,,18.00699899997562,18.1200009159802,18.606980624987045,18.75352583298809,18.75352583298809,19.221616750000976,up,0.45676083202124573,None,demo,001,2025-01-06_16h02.30.014,method_of_constant_stimuli,2024.2.4,None,2025-01-06 16h02.35.739054 -0500,
0.0,13,5,1,down,0.49537645699456334,None,1,5,13,0,19.229635374998907,,,,19.223030790977646,19.320122165983776,19.80724037499749,19.970014249993255,19.970014249993255,20.472103082982358,down,0.49537645699456334,None,demo,001,2025-01-06_16h02.30.014,method_of_constant_stimuli,2024.2.4,None,2025-01-06 16h02.35.739054 -0500,
