contrast,location,thisN,thisTrialN,thisRepN,response.keys,response.rt,response.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_experiment.started,begin_experiment.stopped,trial.started,response.started,trial.stopped,trials.response.keys,trials.response.rt,trials.response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.006704750005155802,1.8452426669828128,,,,,,,demo,001,2025-01-06_23h01.49.058,forced_choice,2024.2.4,None,2025-01-06 23h01.56.246581 -0500,
0.0,-1,0,0,0,right,1.209324540977832,None,0,0,0,8,1.8568450419988949,,,,1.8510501249984372,2.447099958983017,3.6590529999812134,right,1.209324540977832,None,demo,001,2025-01-06_23h01.49.058,forced_choice,2024.2.4,None,2025-01-06 23h01.56.246581 -0500,
0.1,-1,1,1,0,left,0.5585798750107642,None,0,1,1,14,3.6658769169880543,,,,3.661016625002958,4.2570378340024035,4.82644549998804,left,0.5585798750107642,None,demo,001,2025-01-06_23h01.49.058,forced_choice,2024.2.4,None,2025-01-06 23h01.56.246581 -0500,
0.001,1,2,2,0,right,0.35959200002253056,None,0,2,2,4,4.834642875008285,,,,4.8284310000017285,5.4237185420061,5.792495208996115,right,0.35959200002253056,None,demo,001,2025-01-06_23h01.49.058,forced_choice,2024.2.4,None,2025-01-06 23h01.56.246581 -0500,
0.01,1,3,3,0,right,0.33314766600960866,None,0,3,3,5,5.800313458981691,,,,5.794228666985873,6.390186000004178,6.72683075000532,right,0.33314766600960866,None,demo,001,2025-01-06_23h01.49.058,forced_choice,2024.2.4,None,2025-01-06 23h01.56.246581 -0500,
1e-07,1,4,4,0,right,0.650453957990976,None,0,4,4,2,6.7444788749853615,,,,6.7287350420083385,7.323812124988763,7.979676958988421,right,0.650453957990976,None,demo,001,2025-01-06_23h01.49.058,forced_choice,2024.2.4,None,2025-01-06 23h01.56.246581 -0500,
1e-09,-1,5,5,0,left,0.40193595801247284,None,0,5,5,9,7.990080458985176,,,,7.9816744169802405,8.578324959002202,8.992037458985578,left,0.40193595801247284,None,demo,001,2025-01-06_23h01.49.058,forced_choice,2024.2.4,None,2025-01-06 23h01.56.246581 -0500,
1e-05,-1,6,6,0,right,0.2439903329941444,None,0,6,6,11,9.00065841700416,,,,8.994025124993641,9.59025933398516,9.842642458999762,right,0.2439903329941444,None,demo,001,2025-01-06_23h01.49.058,forced_choice,2024.2.4,None,2025-01-06 23h01.56.246581 -0500,
1e-09,1,7,7,0,left,0.5808334159955848,None,0,7,7,1,9.850807749986416,,,,9.844511792005505,10.440388833987527,11.026686833996791,left,0.5808334159955848,None,demo,001,2025-01-06_23h01.49.058,forced_choice,2024.2.4,None,2025-01-06 23h01.56.246581 -0500,
0.01,-1,8,8,0,left,0.44179383301525377,None,0,8,8,13,11.033180667000124,,,,11.028469374985434,11.623672416986665,12.076101041981019,left,0.44179383301525377,None,demo,001,2025-01-06_23h01.49.058,forced_choice,2024.2.4,None,2025-01-06 23h01.56.246581 -0500,
1e-05,1,9,9,0,right,0.3446496249816846,None,0,9,9,3,12.084091249998892,,,,12.07811450000736,12.673622792004608,13.025637833983637,right,0.3446496249816846,None,demo,001,2025-01-06_23h01.49.058,forced_choice,2024.2.4,None,2025-01-06 23h01.56.246581 -0500,
0.1,1,10,10,0,right,0.21353962499415502,None,0,10,10,6,13.034061916987412,,,,13.02757587499218,13.623659333999967,13.842111916979775,right,0.21353962499415502,None,demo,001,2025-01-06_23h01.49.058,forced_choice,2024.2.4,None,2025-01-06 23h01.56.246581 -0500,
1e-07,-1,11,11,0,left,0.6487519580114167,None,0,11,11,10,13.849882209004136,,,,13.843984209001064,14.440372708981158,15.092619083996397,left,0.6487519580114167,None,demo,001,2025-01-06_23h01.49.058,forced_choice,2024.2.4,None,2025-01-06 23h01.56.246581 -0500,
0.0,1,12,12,0,left,0.7340973749815021,None,0,12,12,0,15.100799209001707,,,,15.094283416983671,15.690290124999592,16.430119875003584,left,0.7340973749815021,None,demo,001,2025-01-06_23h01.49.058,forced_choice,2024.2.4,None,2025-01-06 23h01.56.246581 -0500,
0.001,-1,13,13,0,left,0.338833041023463,None,0,13,13,12,16.440089584008092,,,,16.432106166990707,17.028369417006616,17.375690916989697,left,0.338833041023463,None,demo,001,2025-01-06_23h01.49.058,forced_choice,2024.2.4,None,2025-01-06 23h01.56.246581 -0500,
1.0,-1,14,14,0,left,0.17243491602130234,None,0,14,14,15,17.38449962498271,,,,17.377866458991775,17.973626708990196,18.158974208985455,left,0.17243491602130234,None,demo,001,2025-01-06_23h01.49.058,forced_choice,2024.2.4,None,2025-01-06 23h01.56.246581 -0500,
1.0,1,15,15,0,right,0.48112437399686314,None,0,15,15,7,18.167053166980622,,,,18.160886166995624,18.75690750000649,19.24221804199624,right,0.48112437399686314,None,demo,001,2025-01-06_23h01.49.058,forced_choice,2024.2.4,None,2025-01-06 23h01.56.246581 -0500,
0.1,-1,16,0,1,left,0.4618450409907382,None,1,0,16,14,19.25091716699535,,,,19.24402379198,19.840239334007492,20.30873629200505,left,0.4618450409907382,None,demo,001,2025-01-06_23h01.49.058,forced_choice,2024.2.4,None,2025-01-06 23h01.56.246581 -0500,
1.0,-1,17,1,1,left,0.10332179098622873,None,1,1,17,15,20.317308124998817,,,,20.310581958998227,20.907040041987784,21.01215562497964,left,0.10332179098622873,None,demo,001,2025-01-06_23h01.49.058,forced_choice,2024.2.4,None,2025-01-06 23h01.56.246581 -0500,
1e-09,-1,18,2,1,left,1.1353635829873383,None,1,2,18,9,21.02334754198091,,,,21.014004249998834,21.611586916988017,22.75947591700242,left,1.1353635829873383,None,demo,001,2025-01-06_23h01.49.058,forced_choice,2024.2.4,None,2025-01-06 23h01.56.246581 -0500,
0.1,1,19,3,1,right,0.3704813749936875,None,1,3,19,6,22.767524958995637,,,,22.761265916982666,23.35739808398648,23.729851749987574,right,0.3704813749936875,None,demo,001,2025-01-06_23h01.49.058,forced_choice,2024.2.4,None,2025-01-06 23h01.56.246581 -0500,
1e-07,-1,20,4,1,left,1.0075564579747152,None,1,4,20,10,23.740065624995623,,,,23.73139987498871,24.328388541995082,25.342161417007446,left,1.0075564579747152,None,demo,001,2025-01-06_23h01.49.058,forced_choice,2024.2.4,None,2025-01-06 23h01.56.246581 -0500,
0.0,-1,21,5,1,left,0.7075387079967186,None,1,5,21,8,25.350413791980827,,,,25.343919709004695,25.940371792006772,26.658685208996758,left,0.7075387079967186,None,demo,001,2025-01-06_23h01.49.058,forced_choice,2024.2.4,None,2025-01-06 23h01.56.246581 -0500,
1e-05,-1,22,6,1,left,0.377934499992989,None,1,6,22,11,26.666996916988865,,,,26.66039366699988,27.257017041993095,27.642664499988314,left,0.377934499992989,None,demo,001,2025-01-06_23h01.49.058,forced_choice,2024.2.4,None,2025-01-06 23h01.56.246581 -0500,
0.01,1,23,7,1,right,0.3453622499946505,None,1,7,23,5,27.650424833991565,,,,27.64449891698314,28.24051104200771,28.591998458985472,right,0.3453622499946505,None,demo,001,2025-01-06_23h01.49.058,forced_choice,2024.2.4,None,2025-01-06 23h01.56.246581 -0500,
1e-05,1,24,8,1,right,0.3325309169886168,None,1,8,24,3,28.60070154198911,,,,28.593787041987525,29.190275333996397,29.525497458991595,right,0.3325309169886168,None,demo,001,2025-01-06_23h01.49.058,forced_choice,2024.2.4,None,2025-01-06 23h01.56.246581 -0500,
