contrast,location,size,thisN,thisTrialN,thisRepN,response.keys,response.rt,response.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_experiment.started,begin_experiment.stopped,trial.started,response.started,trial.stopped,trials.response.keys,trials.response.rt,trials.response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,0.007201666,2.0747648329706863,,,,,,,demo,001,2025-01-28_22h20.20.760,forced_choice,2024.2.4,None,2025-01-28 22h20.25.442427 -0500
0.001,1,0.1,1,1,0,left,0.5554150410462171,None,0,1,1,2,3.1273409159621224,,,,3.1209457078948617,3.716469082981348,4.28543575,left,0.5554150410462171,None,demo,001,2025-01-28_22h20.20.760,forced_choice,2024.2.4,None,2025-01-28 22h20.25.442427 -0500
0.1,-1,0.1,2,2,0,left,0.35477958293631673,None,0,2,2,14,4.302326499950141,,,,4.287252124981023,4.8830181249650195,5.253054040949792,left,0.35477958293631673,None,demo,001,2025-01-28_22h20.20.760,forced_choice,2024.2.4,None,2025-01-28 22h20.25.442427 -0500
0.0001,1,0.1,3,3,0,right,0.32320662401616573,None,0,3,3,1,5.266347874887288,,,,5.2552363749127835,5.849648332921788,6.185664915945381,right,0.32320662401616573,None,demo,001,2025-01-28_22h20.20.760,forced_choice,2024.2.4,None,2025-01-28 22h20.25.442427 -0500
0.1,1,0.1,4,4,0,right,0.2987929580267519,None,0,4,4,4,6.193479582900181,,,,6.187692499952391,6.783043957897462,7.085511665907688,right,0.2987929580267519,None,demo,001,2025-01-28_22h20.20.760,forced_choice,2024.2.4,None,2025-01-28 22h20.25.442427 -0500
0.001,-1,0.1,5,5,0,left,1.4007065830519423,None,0,5,5,10,7.092316665919498,,,,7.087535374914296,7.683031665976159,9.089466207893565,left,1.4007065830519423,None,demo,001,2025-01-28_22h20.20.760,forced_choice,2024.2.4,None,2025-01-28 22h20.25.442427 -0500
0.1,1,0.1,7,7,0,right,0.2847464989172295,None,0,7,7,6,9.966814332990907,,,,9.957341290893964,10.553997915936634,10.85260020790156,right,0.2847464989172295,None,demo,001,2025-01-28_22h20.20.760,forced_choice,2024.2.4,None,2025-01-28 22h20.25.442427 -0500
0.01,-1,0.1,8,8,0,left,0.2439690000610426,None,0,8,8,11,10.86012987489812,,,,10.854781207977794,11.449756207992323,11.701730374945328,left,0.2439690000610426,None,demo,001,2025-01-28_22h20.20.760,forced_choice,2024.2.4,None,2025-01-28 22h20.25.442427 -0500
1,1,0.1,9,9,0,right,0.25499683304224163,None,0,9,9,7,11.708488415926695,,,,11.70370804099366,12.299683790886775,12.557860582950525,right,0.25499683304224163,None,demo,001,2025-01-28_22h20.20.760,forced_choice,2024.2.4,None,2025-01-28 22h20.25.442427 -0500
1e-05,1,0.1,10,10,0,left,0.4075313750654459,None,0,10,10,0,12.565273082931526,,,,12.559824790921994,13.153998707886785,13.568777999957092,left,0.4075313750654459,None,demo,001,2025-01-28_22h20.20.760,forced_choice,2024.2.4,None,2025-01-28 22h20.25.442427 -0500
