contrast,location,size,thisN,thisTrialN,thisRepN,response.keys,response.rt,response.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_experiment.started,begin_experiment.stopped,trial.started,response.started,trial.stopped,trials.response.keys,trials.response.rt,trials.response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.0066784999798983335,54.971873416914605,,,,,,,demo2,001,2025-01-26_16h34.42.314,contrast_sensitivity,2024.2.4,None,2025-01-26 16h34.49.717769 -0500,
0.0001,-1,0.025,0,0,0,right,3.1373142920201644,None,0,0,0,55,54.98534829192795,,,,54.97898808296304,55.572584499954246,58.71726833295543,right,3.1373142920201644,None,demo2,001,2025-01-26_16h34.42.314,contrast_sensitivity,2024.2.4,None,2025-01-26 16h34.49.717769 -0500,
1e-08,1,0.4,1,1,0,left,0.4426732499850914,None,0,1,1,0,58.72628087492194,,,,58.71920449996833,59.31527616688982,59.767162291915156,left,0.4426732499850914,None,demo2,001,2025-01-26_16h34.42.314,contrast_sensitivity,2024.2.4,None,2025-01-26 16h34.49.717769 -0500,
0.01,-1,0.4,2,2,0,left,0.3153199589578435,None,0,2,2,8,59.7755182919791,,,,59.769085332984105,60.36552374996245,60.68422904191539,left,0.3153199589578435,None,demo2,001,2025-01-26_16h34.42.314,contrast_sensitivity,2024.2.4,None,2025-01-26 16h34.49.717769 -0500,
0.05,-1,0.05,3,3,0,right,0.4098050419706851,None,0,3,3,45,60.692786791943945,,,,60.686459166929126,61.28211779193953,61.70056508295238,right,0.4098050419706851,None,demo2,001,2025-01-26_16h34.42.314,contrast_sensitivity,2024.2.4,None,2025-01-26 16h34.49.717769 -0500,
0.0001,-1,0.05,4,4,0,left,0.10295412491541356,None,0,4,4,43,61.70905583293643,,,,61.70274458290078,62.298866457887925,62.405099541996606,left,0.10295412491541356,None,demo2,001,2025-01-26_16h34.42.314,contrast_sensitivity,2024.2.4,None,2025-01-26 16h34.49.717769 -0500,
1.0,-1,0.1,5,5,0,left,0.4472410830203444,None,0,5,5,35,62.41418491699733,,,,62.40704574994743,63.00354020798113,63.45449599996209,left,0.4472410830203444,None,demo2,001,2025-01-26_16h34.42.314,contrast_sensitivity,2024.2.4,None,2025-01-26 16h34.49.717769 -0500,
0.01,1,0.1,6,6,0,right,0.27699170797131956,None,0,6,6,26,63.46523458289448,,,,63.456431957893074,64.0657776669832,64.3517760419054,right,0.27699170797131956,None,demo2,001,2025-01-26_16h34.42.314,contrast_sensitivity,2024.2.4,None,2025-01-26 16h34.49.717769 -0500,
1.0,1,0.2,7,7,0,right,0.13575712498277426,None,0,7,7,17,64.36546566698235,,,,64.35371179191861,64.94893629197031,65.08720979199279,right,0.13575712498277426,None,demo2,001,2025-01-26_16h34.42.314,contrast_sensitivity,2024.2.4,None,2025-01-26 16h34.49.717769 -0500,
0.1,1,0.05,8,8,0,right,0.23480391700286418,None,0,8,8,40,65.09840445790906,,,,65.08910449990071,65.68186987494119,65.92160070792306,right,0.23480391700286418,None,demo2,001,2025-01-26_16h34.42.314,contrast_sensitivity,2024.2.4,None,2025-01-26 16h34.49.717769 -0500,
0.05,-1,0.4,9,9,0,left,11.831607874948531,None,0,9,9,9,65.93168524990324,,,,65.92345841694623,66.52022095792927,78.35368587495759,left,11.831607874948531,None,demo2,001,2025-01-26_16h34.42.314,contrast_sensitivity,2024.2.4,None,2025-01-26 16h34.49.717769 -0500,
1.0,-1,0.05,10,10,0,left,0.3792082089930773,None,0,10,10,47,78.36513883294538,,,,78.35558087495156,78.9535942079965,79.33581091696396,left,0.3792082089930773,None,demo2,001,2025-01-26_16h34.42.314,contrast_sensitivity,2024.2.4,None,2025-01-26 16h34.49.717769 -0500,
1e-08,1,0.2,11,11,0,left,0.39045091706793755,None,0,11,11,12,79.3479982499266,,,,79.33694324991666,79.93230262491852,80.33494933298789,left,0.39045091706793755,None,demo2,001,2025-01-26_16h34.42.314,contrast_sensitivity,2024.2.4,None,2025-01-26 16h34.49.717769 -0500,
0.05,1,0.2,12,12,0,right,0.2585752079030499,None,0,12,12,15,80.34360291692428,,,,80.33695420797449,80.93215541692916,81.20020429196302,right,0.2585752079030499,None,demo2,001,2025-01-26_16h34.42.314,contrast_sensitivity,2024.2.4,None,2025-01-26 16h34.49.717769 -0500,
