contrast,location,size,thisN,thisTrialN,thisRepN,response.keys,response.rt,response.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_experiment.started,begin_experiment.stopped,trial.started,response.started,trial.stopped,trials.response.keys,trials.response.rt,trials.response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.007093166001141071,1.271340791019611,,,,,,,demo,001,2025-01-26_14h53.57.070,contrast_sensitivity,2024.2.4,None,2025-01-26 14h54.03.030954 -0500,
1e-09,-1,0.1,0,0,0,left,0.9451696660835296,None,0,0,0,35,1.2946044580312446,,,,1.2786080830264837,1.868904915987514,2.8174378749681637,left,0.9451696660835296,None,demo,001,2025-01-26_14h53.57.070,contrast_sensitivity,2024.2.4,None,2025-01-26 14h54.03.030954 -0500,
1e-09,1,0.2,1,1,0,right,0.7063402079511434,None,0,1,1,14,2.8277777910698205,,,,2.8194783329963684,3.415872666053474,4.130057458067313,right,0.7063402079511434,None,demo,001,2025-01-26_14h53.57.070,contrast_sensitivity,2024.2.4,None,2025-01-26 14h54.03.030954 -0500,
1e-07,1,0.1,2,2,0,left,0.8456695829518139,None,0,2,2,29,4.138763041002676,,,,4.131919707986526,4.728304540971294,5.578296415973455,left,0.8456695829518139,None,demo,001,2025-01-26_14h53.57.070,contrast_sensitivity,2024.2.4,None,2025-01-26 14h54.03.030954 -0500,
0.1,-1,0.1,3,3,0,left,0.5981908750254661,None,0,3,3,40,5.583215291029774,,,,5.579485457972623,6.165830458048731,6.7672741250135005,left,0.5981908750254661,None,demo,001,2025-01-26_14h53.57.070,contrast_sensitivity,2024.2.4,None,2025-01-26 14h54.03.030954 -0500,
1e-07,1,0.4,4,4,0,left,0.6437317499658093,None,0,4,4,1,6.783827707986347,,,,6.769492250052281,7.3662440000334755,8.013560625026003,left,0.6437317499658093,None,demo,001,2025-01-26_14h53.57.070,contrast_sensitivity,2024.2.4,None,2025-01-26 14h54.03.030954 -0500,
0.1,-1,0.4,5,5,0,left,0.3646151670254767,None,0,5,5,12,8.02207491605077,,,,8.015622082981281,8.61134529102128,8.981041582999751,left,0.3646151670254767,None,demo,001,2025-01-26_14h53.57.070,contrast_sensitivity,2024.2.4,None,2025-01-26 14h54.03.030954 -0500,
0.1,1,0.1,6,6,0,right,0.38749787502456456,None,0,6,6,33,8.989621540997177,,,,8.983041708008386,9.578204708057456,9.967703666072339,right,0.38749787502456456,None,demo,001,2025-01-26_14h53.57.070,contrast_sensitivity,2024.2.4,None,2025-01-26 14h54.03.030954 -0500,
0.01,-1,0.4,7,7,0,left,0.34234533400740474,None,0,7,7,11,9.97800941602327,,,,9.969613458029926,10.566701165982522,10.913762666052207,left,0.34234533400740474,None,demo,001,2025-01-26_14h53.57.070,contrast_sensitivity,2024.2.4,None,2025-01-26 14h54.03.030954 -0500,
0.1,1,0.4,8,8,0,right,0.22157362499274313,None,0,8,8,5,10.922030166024342,,,,10.915614083060063,11.511292333016172,11.747853707987815,right,0.22157362499274313,None,demo,001,2025-01-26_14h53.57.070,contrast_sensitivity,2024.2.4,None,2025-01-26 14h54.03.030954 -0500,
1.0,-1,0.025,9,9,0,left,0.27824454102665186,None,0,9,9,69,11.75645554100629,,,,11.749854500056244,12.34462887502741,12.630893583060242,left,0.27824454102665186,None,demo,001,2025-01-26_14h53.57.070,contrast_sensitivity,2024.2.4,None,2025-01-26 14h54.03.030954 -0500,
1e-05,1,0.1,10,10,0,right,0.3206341249169782,None,0,10,10,30,12.638835499994457,,,,12.632910041022114,13.228181165992282,13.564037875039503,right,0.3206341249169782,None,demo,001,2025-01-26_14h53.57.070,contrast_sensitivity,2024.2.4,None,2025-01-26 14h54.03.030954 -0500,
