contrast,location,cpd,thisN,thisTrialN,thisRepN,response.keys,response.rt,response.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_experiment.started,begin_experiment.stopped,trial.started,response.started,trial.stopped,trials.response.keys,trials.response.rt,trials.response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.00804470805451274,1.1775374580174685,,,,,,,demo,001,2025-02-03_13h44.20.629,contrast_sensitivity,2024.2.4,None,2025-02-03 13h44.25.993894 -0500,
0.0001,1,4,0,0,0,right,0.9545634579844773,None,0,0,0,25,1.1893675830215216,,,,1.1837170420913026,1.7752170420717448,2.736753167002462,right,0.9545634579844773,None,demo,001,2025-02-03_13h44.20.629,contrast_sensitivity,2024.2.4,None,2025-02-03 13h44.25.993894 -0500,
1.0,1,4,1,1,0,right,0.3845522910123691,None,0,1,1,29,2.7450924169970676,,,,2.738793875090778,3.334099542000331,3.723046167055145,right,0.3845522910123691,None,demo,001,2025-02-03_13h44.20.629,contrast_sensitivity,2024.2.4,None,2025-02-03 13h44.25.993894 -0500,
0.1,1,4,2,2,0,right,0.2645279159769416,None,0,2,2,28,3.7335227919975296,,,,3.7243874170817435,4.318119833013043,4.587048000073992,right,0.2645279159769416,None,demo,001,2025-02-03_13h44.20.629,contrast_sensitivity,2024.2.4,None,2025-02-03 13h44.25.993894 -0500,
0.0001,1,1,3,3,0,right,0.27750912494957447,None,0,3,3,1,4.596007458050735,,,,4.589275583042763,5.185123750008643,5.471171708079055,right,0.27750912494957447,None,demo,001,2025-02-03_13h44.20.629,contrast_sensitivity,2024.2.4,None,2025-02-03 13h44.25.993894 -0500,
1e-08,-1,4,4,4,0,right,0.4150549580808729,None,0,4,4,30,5.479892458068207,,,,5.473624792066403,6.068560167099349,6.487579417065717,right,0.4150549580808729,None,demo,001,2025-02-03_13h44.20.629,contrast_sensitivity,2024.2.4,None,2025-02-03 13h44.25.993894 -0500,
0.01,-1,8,5,5,0,left,0.22742374998051673,None,0,5,5,44,6.501757667050697,,,,6.489691208000295,7.085169458063319,7.321498583070934,left,0.22742374998051673,None,demo,001,2025-02-03_13h44.20.629,contrast_sensitivity,2024.2.4,None,2025-02-03 13h44.25.993894 -0500,
1.0,1,8,6,6,0,right,0.36216933303512633,None,0,6,6,41,7.330090667004697,,,,7.323704208014533,7.9185405829921365,8.28727708302904,right,0.36216933303512633,None,demo,001,2025-02-03_13h44.20.629,contrast_sensitivity,2024.2.4,None,2025-02-03 13h44.25.993894 -0500,
1e-08,1,8,7,7,0,right,0.4453769159736112,None,0,7,7,36,8.294682583073154,,,,8.289578417083248,8.903169375029393,9.357284750090912,right,0.4453769159736112,None,demo,001,2025-02-03_13h44.20.629,contrast_sensitivity,2024.2.4,None,2025-02-03 13h44.25.993894 -0500,
0.0001,1,8,8,8,0,right,0.2480785419465974,None,0,8,8,37,9.368499750038609,,,,9.359600041992962,9.955422208062373,10.220531958038919,right,0.2480785419465974,None,demo,001,2025-02-03_13h44.20.629,contrast_sensitivity,2024.2.4,None,2025-02-03 13h44.25.993894 -0500,
0.1,1,2,9,9,0,right,0.20528329093940556,None,0,9,9,16,10.229607292101718,,,,10.223137416993268,10.81854937504977,11.035888332989998,right,0.20528329093940556,None,demo,001,2025-02-03_13h44.20.629,contrast_sensitivity,2024.2.4,None,2025-02-03 13h44.25.993894 -0500,
0.0001,-1,8,10,10,0,left,0.2247324159834534,None,0,10,10,43,11.041071458021179,,,,11.037269917083904,11.634022625046782,11.86923012509942,left,0.2247324159834534,None,demo,001,2025-02-03_13h44.20.629,contrast_sensitivity,2024.2.4,None,2025-02-03 13h44.25.993894 -0500,
0.05,1,8,11,11,0,right,0.08260712400078773,None,0,11,11,39,11.874234082992189,,,,11.870617250096984,12.456905250088312,12.552591667044908,right,0.08260712400078773,None,demo,001,2025-02-03_13h44.20.629,contrast_sensitivity,2024.2.4,None,2025-02-03 13h44.25.993894 -0500,
0.1,-1,16,12,12,0,left,0.12433404102921486,None,0,12,12,58,12.558342875097878,,,,12.554090208024718,13.143197583034635,13.271024625049904,left,0.12433404102921486,None,demo,001,2025-02-03_13h44.20.629,contrast_sensitivity,2024.2.4,None,2025-02-03 13h44.25.993894 -0500,
0.05,1,16,13,13,0,left,1.0622880830196664,None,0,13,13,51,13.279993875068612,,,,13.27348662505392,13.87311841698829,14.941699500079267,left,1.0622880830196664,None,demo,001,2025-02-03_13h44.20.629,contrast_sensitivity,2024.2.4,None,2025-02-03 13h44.25.993894 -0500,
0.01,-1,4,14,14,0,left,0.11301995790563524,None,0,14,14,32,14.951091667055152,,,,14.944224208011292,15.539352292078547,15.657782000023872,left,0.11301995790563524,None,demo,001,2025-02-03_13h44.20.629,contrast_sensitivity,2024.2.4,None,2025-02-03 13h44.25.993894 -0500,
0.05,-1,1,15,15,0,left,0.04158849909435958,None,0,15,15,9,15.668108292040415,,,,15.660022417083383,16.256809832993895,16.303581417072564,left,0.04158849909435958,None,demo,001,2025-02-03_13h44.20.629,contrast_sensitivity,2024.2.4,None,2025-02-03 13h44.25.993894 -0500,
