contrast,location,n_cycles,thisN,thisTrialN,thisRepN,response.keys,response.rt,response.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_experiment.started,begin_experiment.stopped,trial.started,response.started,trial.stopped,trials.response.keys,trials.response.rt,trials.response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,0.006806708,83.24937762506306,,,,,,,demo,001,2025-02-03_13h56.33.003,contrast_sensitivity,2024.2.4,None,2025-02-03 13h56.51.908240 -0500
1e-08,1,16,0,0,0,right,0.8970332490280271,None,0,0,0,48,83.26211158302613,,,,83.25610116601456,83.84204491600394,84.75317095802166,right,0.8970332490280271,None,demo,001,2025-02-03_13h56.33.003,contrast_sensitivity,2024.2.4,None,2025-02-03 13h56.51.908240 -0500
0.05,1,1,1,1,0,right,0.48412062495481223,None,0,1,1,3,84.76710320799612,,,,84.75522216607351,85.34994687500875,85.83633288,right,0.48412062495481223,None,demo,001,2025-02-03_13h56.33.003,contrast_sensitivity,2024.2.4,None,2025-02-03 13h56.51.908240 -0500
1e-08,-1,4,2,2,0,right,0.3377459580078721,None,0,2,2,30,85.85372350004036,,,,85.83829175005667,86.43725429102778,86.78448016603943,right,0.3377459580078721,None,demo,001,2025-02-03_13h56.33.003,contrast_sensitivity,2024.2.4,None,2025-02-03 13h56.51.908240 -0500
1,1,4,3,3,0,right,0.24781941703986377,None,0,3,3,29,86.79039046,,,,86.78582187497523,87.38317529100459,87.63550833298359,right,0.24781941703986377,None,demo,001,2025-02-03_13h56.33.003,contrast_sensitivity,2024.2.4,None,2025-02-03 13h56.51.908240 -0500
0.05,1,8,4,4,0,right,0.186248125,None,0,4,4,39,87.64140521,,,,87.63677204097621,88.22392733301967,88.41929845802952,right,0.186248125,None,demo,001,2025-02-03_13h56.33.003,contrast_sensitivity,2024.2.4,None,2025-02-03 13h56.51.908240 -0500
0.1,-1,8,5,5,0,left,0.31147524900734425,None,0,5,5,46,88.42836820799857,,,,88.42163179104682,89.01767241605558,89.33681254,left,0.31147524900734425,None,demo,001,2025-02-03_13h56.33.003,contrast_sensitivity,2024.2.4,None,2025-02-03 13h56.51.908240 -0500
1e-08,1,2,6,6,0,left,0.20091941591817886,None,0,6,6,12,89.34482788,,,,89.33870808,89.93398112501018,90.13970833306666,left,0.20091941591817886,None,demo,001,2025-02-03_13h56.33.003,contrast_sensitivity,2024.2.4,None,2025-02-03 13h56.51.908240 -0500
0.0001,-1,16,7,7,0,left,0.21578762494027615,None,0,7,7,55,90.15058266604319,,,,90.14233166608028,90.75113375,90.97337091597728,left,0.21578762494027615,None,demo,001,2025-02-03_13h56.33.003,contrast_sensitivity,2024.2.4,None,2025-02-03 13h56.51.908240 -0500
1,1,2,8,8,0,right,0.078018083,None,0,8,8,17,90.98414150008466,,,,90.97559208306484,91.56990075006615,91.65144166606478,right,0.078018083,None,demo,001,2025-02-03_13h56.33.003,contrast_sensitivity,2024.2.4,None,2025-02-03 13h56.51.908240 -0500
