thisRow.t,notes,begin_experiment.started,text.started,begin_experiment.stopped,staircase.label,staircase.nReps,staircase.startVal,staircase.maxVal,staircase.minVal,staircase.stepSizes,staircase.stepType,staircase.nUp,staircase.nDown,staircase.nReversals,staircase.thisIndex,staircase.thisRepN,staircase.thisN,staircase.direction,staircase.stepSize,staircase.intensity,trial.started,grating.started,grating_test.started,grating.stopped,grating_test.stopped,key_resp.started,text_2.started,trial.stopped,staircase.response,response,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.00789720899774693,0.023005167007795535,0.7188066249946132,,,,,,,,,,,,,,,,,,,,,,,,,,,demo2,001,2025-02-12_23h42.31.971,05-adaptive-methods,2024.2.4,None,2025-02-12 23h42.38.378463 -0500,
0.9345151250017807,,,,,cw,60,10,15,0,"[2, 0.5]",lin,1,2,None,0,1,0,start,2,10,0.9277598339976976,0.9345151250017807,1.3119965000078082,1.4254664170002798,1.812728208999033,1.812728208999033,1.812728208999033,2.208010917005595,1,cw,demo2,001,2025-02-12_23h42.31.971,05-adaptive-methods,2024.2.4,None,2025-02-12 23h42.38.378463 -0500,
2.213369083998259,,,,,hi,6,15,15,15,1,lin,1,2,0,2,1,1,start,1,15,2.208284249994904,2.213369083998259,2.807728166997549,2.7247518340009265,3.3089318749989616,3.3089318749989616,3.3089318749989616,3.708232874996611,1,cw,demo2,001,2025-02-12_23h42.31.971,05-adaptive-methods,2024.2.4,None,2025-02-12 23h42.38.378463 -0500,
3.7225120420043822,,,,,lo,6,-15,-15,-15,1,lin,2,1,0,3,1,2,start,1,-15,3.708512041994254,3.7225120420043822,4.3067916669970145,4.209089958996628,4.792451208995772,4.8067725419969065,4.8067725419969065,5.091475459004869,0,ccw,demo2,001,2025-02-12_23h42.31.971,05-adaptive-methods,2024.2.4,None,2025-02-12 23h42.38.378463 -0500,
5.096764750007424,,,,,ccw,60,-10,0,-15,"[2, 0.5]",lin,2,1,None,1,1,3,start,2,-10,5.091757333997521,5.096764750007424,5.692606374999741,5.607754084005137,6.190105917004985,6.190105917004985,6.190105917004985,6.541749916999834,0,ccw,demo2,001,2025-02-12_23h42.31.971,05-adaptive-methods,2024.2.4,None,2025-02-12 23h42.38.378463 -0500,
6.547347708998132,,,,,hi,6,15,15,15,1,lin,1,2,0,2,2,4,down,1,15,6.5421010840072995,6.547347708998132,7.140088667001692,7.058015999995405,7.625623333995463,7.640082124999026,7.640082124999026,7.840922959003365,1,cw,demo2,001,2025-02-12_23h42.31.971,05-adaptive-methods,2024.2.4,None,2025-02-12 23h42.38.378463 -0500,
7.8463641249982174,,,,,lo,6,-15,-15,-15,1,lin,2,1,0,3,2,5,up,1,-15,7.841180959003395,7.8463641249982174,8.442547250000644,8.344600666998303,8.940111375006381,8.926117459006491,8.926117459006491,9.175028209006996,0,ccw,demo2,001,2025-02-12_23h42.31.971,05-adaptive-methods,2024.2.4,None,2025-02-12 23h42.38.378463 -0500,
9.180221625007107,,,,,ccw,60,-10,0,-15,"[2, 0.5]",lin,2,1,None,1,2,6,up,2,-8,9.175314334002906,9.180221625007107,9.77335783399758,9.67696683399845,10.259233667005901,10.273531917002401,10.273531917002401,10.508268834004411,0,ccw,demo2,001,2025-02-12_23h42.31.971,05-adaptive-methods,2024.2.4,None,2025-02-12 23h42.38.378463 -0500,
10.51301270899421,,,,,cw,60,10,15,0,"[2, 0.5]",lin,1,2,None,0,2,7,down,2,8,10.5085776670021,10.51301270899421,11.107400417007739,11.012534374996903,11.607765916996868,11.607765916996868,11.607765916996868,11.941546166999615,1,cw,demo2,001,2025-02-12_23h42.31.971,05-adaptive-methods,2024.2.4,None,2025-02-12 23h42.38.378463 -0500,
11.946842292003566,,,,,lo,6,-15,-15,-15,1,lin,2,1,0,3,3,8,up,1,-15,11.94182695899508,11.946842292003566,12.540462417004164,12.457827209000243,13.025675124998088,13.040020208994974,13.040020208994974,13.391582875003223,0,ccw,demo2,001,2025-02-12_23h42.31.971,05-adaptive-methods,2024.2.4,None,2025-02-12 23h42.38.378463 -0500,
