4.5656 	INFO 	Loaded monitor calibration from ['2023_05_12 15:00']
4.5767 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1512, 982]. Using actual size
4.7263 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fe1111e0820>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fe1111e0730>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=True, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fe121d3a2e0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([3024, 1964]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.7264 	EXP 	window1: backgroundImage = ''
4.7264 	EXP 	window1: backgroundFit = 'none'
4.7695 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
4.7695 	EXP 	window1: recordFrameIntervals = False
4.8918 	EXP 	window1: recordFrameIntervals = True
5.7256 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

7.3950 	INFO 	keyboard.Keyboard is using iohub backend.
7.3950 	INFO 	keyboard.Keyboard is using iohub backend.
7.3951 	INFO 	keyboard.Keyboard is using iohub backend.
7.3951 	EXP 	05-adaptive-methods: status = STARTED
7.4316 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
7.4337 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([2., 2.]), size=array([0.25, 0.25]), tex='sin', texRes=128.0, units='height', win=Window(...))
7.4350 	EXP 	Created grating_test = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, interpolate=True, mask='gauss', maskParams=None, name='grating_test', opacity=1, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([2., 2.]), size=array([0.25, 0.25]), tex='sin', texRes=128.0, units='height', win=Window(...))
0.0235 	INFO 	Keyboard events cleared
0.0233 	EXP 	text: autoDraw = True
1.0231 	EXP 	Imported staircase_parameters.xlsx as conditions, 4 conditions, 10 params
1.1224 	DATA 	Keypress: space
1.1248 	WARNING 	t of last frame was 234.15ms (=1/4)
1.1248 	EXP 	text: autoDraw = False
1.1248 	EXP 	grating_test: ori = 12.0
1.1248 	EXP 	grating: autoDraw = True
1.1248 	EXP 	grating: tex = 'sin'
1.5122 	EXP 	grating_test: autoDraw = True
1.5122 	EXP 	grating_test: tex = 'sin'
1.6094 	EXP 	grating: autoDraw = False
2.0097 	INFO 	Keyboard events cleared
2.0094 	EXP 	grating_test: autoDraw = False
2.4628 	DATA 	Keypress: right
2.4739 	EXP 	grating: autoDraw = False
2.4739 	EXP 	grating_test: autoDraw = False
2.4739 	EXP 	grating_test: ori = 11.0
2.4739 	EXP 	grating: autoDraw = True
