speed,thisN,thisTrialN,thisRepN,slider.response,slider.rt,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_experiment.started,begin_experiment.stopped,trial.started,circle_block.started,polygon.started,dots.started,dots.stopped,slider.started,key_resp.started,trial.stopped,trials.slider.response,trials.slider.rt,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.008467624997138046,2.1196078329994634,,,,,,,,,,,,,,demo,001,2025-02-14_18h51.09.433,speed-estimation,2024.2.4,None,2025-02-14 18h51.15.253601 -0500,
0.0005,0,0,0,2.160386965376782,6.4248173749983835,return,5.70936108299793,None,0,0,0,3,2.1394907909998437,,,,2.128546541000105,2.1394907909998437,2.1394907909998437,2.2071451659976447,3.2249627499986673,3.2249627499986673,3.2249627499986673,8.937291291000292,2.160386965376782,6.4248173749983835,return,5.70936108299793,None,demo,001,2025-02-14_18h51.09.433,speed-estimation,2024.2.4,None,2025-02-14 18h51.15.253601 -0500,
0.00025,1,1,0,1.6028513238289206,2.2045357919996604,return,1.491220791998785,None,0,1,1,4,8.941816540998843,,,,8.938013540999236,8.941816540998843,8.941816540998843,9.02286974999879,10.034404874997563,10.034404874997563,10.034404874997563,11.52695458299786,1.6028513238289206,2.2045357919996604,return,1.491220791998785,None,demo,001,2025-02-14_18h51.09.433,speed-estimation,2024.2.4,None,2025-02-14 18h51.15.253601 -0500,
6.25e-05,2,2,0,1.2540733197556009,2.258787124999799,return,1.479317749999609,None,0,2,2,6,11.536103624999669,,,,11.527623082998616,11.536103624999669,11.536103624999669,11.623070374997042,12.61957262499709,12.632641207997949,12.632641207997949,14.120542082997417,1.2540733197556009,2.258787124999799,return,1.479317749999609,None,demo,001,2025-02-14_18h51.09.433,speed-estimation,2024.2.4,None,2025-02-14 18h51.15.253601 -0500,
0.002,3,3,0,2.7892057026476578,4.22142470900144,return,3.4714180840019253,None,0,3,3,1,14.123956749997888,,,,14.121175540996774,14.123956749997888,14.123956749997888,14.2061467909989,15.216886874997726,15.216886874997726,15.216886874997726,18.694511832996795,2.7892057026476578,4.22142470900144,return,3.4714180840019253,None,demo,001,2025-02-14_18h51.09.433,speed-estimation,2024.2.4,None,2025-02-14 18h51.15.253601 -0500,
0.000125,4,4,0,1.4068228105906315,2.863892500001384,return,2.128107041997282,None,0,4,4,5,18.7027443329971,,,,18.69529862499985,18.7027443329971,18.7027443329971,18.790446166000038,19.787208791000012,19.80297070799861,19.80297070799861,21.937269124999148,1.4068228105906315,2.863892500001384,return,2.128107041997282,None,demo,001,2025-02-14_18h51.09.433,speed-estimation,2024.2.4,None,2025-02-14 18h51.15.253601 -0500,
0.001,5,5,0,2.4124236252545828,2.11524983399795,return,1.3974326249990554,None,0,5,5,2,21.941662915996858,,,,21.93793904099948,21.941662915996858,21.941662915996858,22.022873874997458,23.03536929099937,23.03536929099937,23.03536929099937,24.437248291000287,2.4124236252545828,2.11524983399795,return,1.3974326249990554,None,demo,001,2025-02-14_18h51.09.433,speed-estimation,2024.2.4,None,2025-02-14 18h51.15.253601 -0500,
0.004,6,6,0,2.9928716904276986,2.188191999997798,return,1.4614865830008057,None,0,6,6,0,24.44176370799687,,,,24.437919832998887,24.44176370799687,24.44176370799687,24.536305124998762,25.532448665999254,25.532448665999254,25.532448665999254,27.003959957997722,2.9928716904276986,2.188191999997798,return,1.4614865830008057,None,demo,001,2025-02-14_18h51.09.433,speed-estimation,2024.2.4,None,2025-02-14 18h51.15.253601 -0500,
0.002,7,0,1,2.766293279022403,2.6486669590012752,return,2.0412419579988637,None,1,0,7,1,27.00731416599956,,,,27.004647582998587,27.00731416599956,27.00731416599956,27.102946415998304,28.089504290997866,28.102258957998856,28.102258957998856,30.15401183299764,2.766293279022403,2.6486669590012752,return,2.0412419579988637,None,demo,001,2025-02-14_18h51.09.433,speed-estimation,2024.2.4,None,2025-02-14 18h51.15.253601 -0500,
0.000125,8,1,1,1.233706720977597,3.0379239590001816,return,2.2102081669982,None,1,1,8,5,30.157578415997705,,,,30.154751665999356,30.157578415997705,30.157578415997705,30.252965790998132,31.252916082998127,31.252916082998127,31.252916082998127,33.47078004099967,1.233706720977597,3.0379239590001816,return,2.2102081669982,None,demo,001,2025-02-14_18h51.09.433,speed-estimation,2024.2.4,None,2025-02-14 18h51.15.253601 -0500,
