thisRow.t,notes,begin_experiment.started,text.started,begin_experiment.stopped,staircase.label,staircase.nReps,staircase.startVal,staircase.maxVal,staircase.minVal,staircase.stepSizes,staircase.stepType,staircase.nUp,staircase.nDown,staircase.nReversals,staircase.base_direction,staircase.thisIndex,staircase.thisRepN,staircase.thisN,staircase.direction,staircase.stepSize,staircase.intensity,trial.started,dots.started,dots.stopped,dots_test.started,dots_test.stopped,key_resp.started,text_2.started,trial.stopped,staircase.response,response,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.008210333005990833,0.016946625022683293,7.0159487500204705,,,,,,,,,,,,,,,,,,,,,,,,,,,,demo,001,2025-02-28_07h12.54.786,2d-motion-direction-discrimination,2024.2.4,None,2025-02-28 07h13.08.126198 -0500,
7.154208166000899,,,,,lo,6,-14,-20,-20,1,lin,2,1,0,135,7,1,0,start,1,-14,7.148175165988505,7.154208166000899,7.647600041003898,7.814187458017841,8.311917875020299,8.311917875020299,8.311917875020299,8.879762166005094,0,cw,demo,001,2025-02-28_07h12.54.786,2d-motion-direction-discrimination,2024.2.4,None,2025-02-28 07h13.08.126198 -0500,
8.885272375016939,,,,,ccw,40,-14,0,-20,2,lin,2,1,None,135,5,1,1,start,2,-14,8.880467790993862,8.885272375016939,9.396938999998383,9.68013350002002,10.179443250002805,10.179443250002805,10.179443250002805,10.463561583019327,0,cw,demo,001,2025-02-28_07h12.54.786,2d-motion-direction-discrimination,2024.2.4,None,2025-02-28 07h13.08.126198 -0500,
10.477904375002254,,,,,cw,40,14,20,0,2,lin,1,2,None,135,4,1,2,start,2,14,10.464025583001785,10.477904375002254,10.97887658298714,11.263263291039038,11.76214779104339,11.76214779104339,11.76214779104339,12.196300250012428,1,ccw,demo,001,2025-02-28_07h12.54.786,2d-motion-direction-discrimination,2024.2.4,None,2025-02-28 07h13.08.126198 -0500,
12.201816625020001,,,,,lo,6,-14,-20,-20,1,lin,2,1,0,45,3,1,3,start,1,-14,12.196742916014045,12.201816625020001,12.712729583028704,12.996431875042617,13.495208625041414,13.495208625041414,13.495208625041414,13.864770208019763,0,cw,demo,001,2025-02-28_07h12.54.786,2d-motion-direction-discrimination,2024.2.4,None,2025-02-28 07h13.08.126198 -0500,
13.878801125043537,,,,,hi,6,14,20,20,1,lin,1,2,0,135,6,1,4,start,1,14,13.86535137501778,13.878801125043537,14.377723874989897,14.661798832996283,15.16300266602775,15.179285207996145,15.179285207996145,15.464243500027806,1,ccw,demo,001,2025-02-28_07h12.54.786,2d-motion-direction-discrimination,2024.2.4,None,2025-02-28 07h13.08.126198 -0500,
15.478759500023443,,,,,hi,6,14,20,20,1,lin,1,2,0,45,2,1,5,start,1,14,15.464711583044846,15.478759500023443,15.979618250043131,16.263177415996324,16.76177004101919,16.76177004101919,16.76177004101919,17.363028416002635,1,ccw,demo,001,2025-02-28_07h12.54.786,2d-motion-direction-discrimination,2024.2.4,None,2025-02-28 07h13.08.126198 -0500,
17.36830433300929,,,,,cw,40,14,20,0,2,lin,1,2,None,45,0,1,6,start,2,14,17.363454750040546,17.36830433300929,17.864112332987133,18.151986290991772,18.663541375019122,18.663541375019122,18.663541375019122,18.962999291019514,1,ccw,demo,001,2025-02-28_07h12.54.786,2d-motion-direction-discrimination,2024.2.4,None,2025-02-28 07h13.08.126198 -0500,
18.96836920804344,,,,,ccw,40,-14,0,-20,2,lin,2,1,None,45,1,1,7,start,2,-14,18.9633999580401,18.96836920804344,19.479411875014193,19.762998750025872,20.26347354101017,20.26347354101017,20.26347354101017,20.636708125006407,0,cw,demo,001,2025-02-28_07h12.54.786,2d-motion-direction-discrimination,2024.2.4,None,2025-02-28 07h13.08.126198 -0500,
20.64518162503373,,,,,lo,6,-14,-20,-20,1,lin,2,1,0,135,7,2,8,up,1,-20,20.637223916011862,20.64518162503373,21.146833041042555,21.430717875016853,21.929679791035596,21.94618383300258,21.94618383300258,22.28115912503563,0,cw,demo,001,2025-02-28_07h12.54.786,2d-motion-direction-discrimination,2024.2.4,None,2025-02-28 07h13.08.126198 -0500,
22.2954244579887,,,,,ccw,40,-14,0,-20,2,lin,2,1,None,135,5,2,9,up,2,-12,22.281645541021135,22.2954244579887,22.796331708028447,23.096933583030477,23.595222583040595,23.57857158302795,23.57857158302795,23.96471145801479,0,cw,demo,001,2025-02-28_07h12.54.786,2d-motion-direction-discrimination,2024.2.4,None,2025-02-28 07h13.08.126198 -0500,
23.978855208028108,,,,,cw,40,14,20,0,2,lin,1,2,None,135,4,2,10,down,2,12,23.965158833016176,23.978855208028108,24.47975491604302,24.779188540996984,25.264183958002832,25.26184612500947,25.26184612500947,25.66917150001973,1,ccw,demo,001,2025-02-28_07h12.54.786,2d-motion-direction-discrimination,2024.2.4,None,2025-02-28 07h13.08.126198 -0500,
25.678726957994513,,,,,hi,6,14,20,20,1,lin,1,2,0,45,2,2,11,down,1,20,25.66981241601752,25.678726957994513,26.17865116603207,26.47957020800095,26.978535750007723,26.964992875000462,26.964992875000462,27.396431416040286,1,ccw,demo,001,2025-02-28_07h12.54.786,2d-motion-direction-discrimination,2024.2.4,None,2025-02-28 07h13.08.126198 -0500,
27.401988333032932,,,,,hi,6,14,20,20,1,lin,1,2,0,135,6,2,12,down,1,20,27.396868375013582,27.401988333032932,27.898414082999807,28.196210083027836,28.696817208023276,28.696817208023276,28.696817208023276,29.046362499997485,1,ccw,demo,001,2025-02-28_07h12.54.786,2d-motion-direction-discrimination,2024.2.4,None,2025-02-28 07h13.08.126198 -0500,
29.051319624995813,,,,,lo,6,-14,-20,-20,1,lin,2,1,0,45,3,2,13,up,1,-20,29.046784291043878,29.051319624995813,29.56279233301757,29.84611720801331,30.346480750013143,30.346480750013143,30.346480750013143,30.612625666020904,0,cw,demo,001,2025-02-28_07h12.54.786,2d-motion-direction-discrimination,2024.2.4,None,2025-02-28 07h13.08.126198 -0500,
