orientation,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_experiment.started,begin_experiment.stopped,trial.started,trial.stopped,pointer_orientation,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.008207166974898428,0.9966557499719784,,,,demo,001,2025-02-26_22h06.12.747,2d-motion-direction-estimation,2024.2.4,None,2025-02-26 22h06.18.950948 -0500,
22.5,0,0,0,0,0,0,1,1.020244458981324,,,,1.0171054999809712,7.1983282919973135,303.0,demo,001,2025-02-26_22h06.12.747,2d-motion-direction-estimation,2024.2.4,None,2025-02-26 22h06.18.950948 -0500,
337.5,1,1,0,0,1,1,15,7.204231958952732,,,,7.199037583952304,10.617917374998797,60.0,demo,001,2025-02-26_22h06.12.747,2d-motion-direction-estimation,2024.2.4,None,2025-02-26 22h06.18.950948 -0500,
157.5,2,2,0,0,2,2,7,10.62937249999959,,,,10.618295124964789,14.148033416946419,216.0,demo,001,2025-02-26_22h06.12.747,2d-motion-direction-estimation,2024.2.4,None,2025-02-26 22h06.18.950948 -0500,
247.5,3,3,0,0,3,3,11,14.153093499946408,,,,14.148522249946836,18.519034583994653,122.0,demo,001,2025-02-26_22h06.12.747,2d-motion-direction-estimation,2024.2.4,None,2025-02-26 22h06.18.950948 -0500,
202.5,4,4,0,0,4,4,9,18.52943608397618,,,,18.51955420896411,21.280918999982532,146.0,demo,001,2025-02-26_22h06.12.747,2d-motion-direction-estimation,2024.2.4,None,2025-02-26 22h06.18.950948 -0500,
225,5,5,0,0,5,5,10,21.285386291972827,,,,21.28141420899192,23.91390737495385,120.0,demo,001,2025-02-26_22h06.12.747,2d-motion-direction-estimation,2024.2.4,None,2025-02-26 22h06.18.950948 -0500,
0,6,6,0,0,6,6,0,23.918901708966587,,,,23.91441579197999,28.981735249981284,2.0,demo,001,2025-02-26_22h06.12.747,2d-motion-direction-estimation,2024.2.4,None,2025-02-26 22h06.18.950948 -0500,
135,7,7,0,0,7,7,6,28.98724454198964,,,,28.982322541996837,33.78128533397103,235.0,demo,001,2025-02-26_22h06.12.747,2d-motion-direction-estimation,2024.2.4,None,2025-02-26 22h06.18.950948 -0500,
67.5,8,8,0,0,8,8,3,33.786561833985616,,,,33.78176937496755,38.33058316697134,290.0,demo,001,2025-02-26_22h06.12.747,2d-motion-direction-estimation,2024.2.4,None,2025-02-26 22h06.18.950948 -0500,
270,9,9,0,0,9,9,12,38.33565870899474,,,,38.3310715839616,42.18393337499583,94.0,demo,001,2025-02-26_22h06.12.747,2d-motion-direction-estimation,2024.2.4,None,2025-02-26 22h06.18.950948 -0500,
90,10,10,0,0,10,10,4,42.19614387495676,,,,42.18439141695853,49.768055416992866,273.0,demo,001,2025-02-26_22h06.12.747,2d-motion-direction-estimation,2024.2.4,None,2025-02-26 22h06.18.950948 -0500,
45,11,11,0,0,11,11,2,49.779419958998915,,,,49.76855870895088,54.04778833396267,309.0,demo,001,2025-02-26_22h06.12.747,2d-motion-direction-estimation,2024.2.4,None,2025-02-26 22h06.18.950948 -0500,
292.5,12,12,0,0,12,12,13,54.05313983396627,,,,54.0483760839561,57.802132791955955,52.0,demo,001,2025-02-26_22h06.12.747,2d-motion-direction-estimation,2024.2.4,None,2025-02-26 22h06.18.950948 -0500,
315,13,13,0,0,13,13,14,57.812784041976556,,,,57.80262099998072,62.016978208965156,39.0,demo,001,2025-02-26_22h06.12.747,2d-motion-direction-estimation,2024.2.4,None,2025-02-26 22h06.18.950948 -0500,
180,14,14,0,0,14,14,8,62.029596249980386,,,,62.01741770899389,66.93121124996105,182.0,demo,001,2025-02-26_22h06.12.747,2d-motion-direction-estimation,2024.2.4,None,2025-02-26 22h06.18.950948 -0500,
