coherence,direction,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_experiment.started,instructions.started,key_resp_2.started,begin_experiment.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,adaptation.started,polygon_adaptation.started,fixation_adaptation.started,adaptation.stopped,top_up_adaptation.started,polygon_top.started,polygon_top.stopped,fixation_top.started,fixation_top.stopped,top_up_adaptation.stopped,trial.started,polygon.started,fixation.started,dots.started,dots.stopped,key_resp.started,fixation_respond.started,polygon.stopped,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.008568624965846539,0.019535082974471152,0.019535082974471152,1.09614362497814,space,1.051773624960333,None,,,,,,,,,,,,,,,,,,,,,,,,523683,001,2025-03-03_23h39.52.258,motion-adaptation,2024.2.4,None,2025-03-03 23h39.58.634746 -0500,
,,,,,,,,,,,,,,,,,,,,,1.0962318329839036,1.2106282919412479,1.2106282919412479,31.103328499943018,,,,,,,,,,,,,,,,,,,,523683,001,2025-03-03_23h39.52.258,motion-adaptation,2024.2.4,None,2025-03-03 23h39.58.634746 -0500,
0.25,0,0,0,0,left,1.2112021250650287,None,0,0,0,2,31.12617670802865,,,,,,,,,,,,,31.12057037500199,31.12617670802865,31.12617670802865,31.12617670802865,31.12617670802865,31.12116075004451,31.12153954198584,31.12617670802865,31.12617670802865,31.21983504202217,31.50742470799014,31.71983891702257,31.71983891702257,31.72273120796308,31.72273120796308,32.938919791951776,left,1.2112021250650287,None,523683,001,2025-03-03_23h39.52.258,motion-adaptation,2024.2.4,None,2025-03-03 23h39.58.634746 -0500,
0.0625,180,1,1,0,left,0.6189096249872819,None,0,1,1,11,32.9681826250162,,,,,,,,,,,,,32.939192416961305,32.9681826250162,32.9681826250162,32.9681826250162,32.9681826250162,32.93983725004364,32.940237874980085,32.9681826250162,32.9681826250162,33.03643029194791,33.32227849995252,33.53659766702913,33.53659766702913,33.556917542009614,33.556917542009614,34.156965416972525,left,0.6189096249872819,None,523683,001,2025-03-03_23h39.52.258,motion-adaptation,2024.2.4,None,2025-03-03 23h39.58.634746 -0500,
1,180,2,2,0,left,0.3607976670609787,None,0,2,2,7,34.172518000006676,,,,,,,,,,,,,34.157179667032324,34.172518000006676,34.172518000006676,34.172518000006676,34.172518000006676,34.157699916977435,34.158018167014234,34.172518000006676,34.172518000006676,34.255910707986914,34.553089749999344,34.75575312494766,34.75575312494766,34.76992179197259,34.76992179197259,35.12403558299411,left,0.3607976670609787,None,523683,001,2025-03-03_23h39.52.258,motion-adaptation,2024.2.4,None,2025-03-03 23h39.58.634746 -0500,
0.03125,0,3,3,0,left,0.4012175420066342,None,0,3,3,5,35.13673337502405,,,,,,,,,,,,,35.12449029204436,35.13673337502405,35.13673337502405,35.13673337502405,35.13673337502405,35.125640957965516,35.12604045798071,35.13673337502405,35.13673337502405,35.22358733299188,35.522803875035606,35.73761020798702,35.73761020798702,35.73761020798702,35.73761020798702,36.14306100003887,left,0.4012175420066342,None,523683,001,2025-03-03_23h39.52.258,motion-adaptation,2024.2.4,None,2025-03-03 23h39.58.634746 -0500,
0.25,180,4,4,0,left,0.1792613749857992,None,0,4,4,9,36.17009795794729,,,,,,,,,,,,,36.14344237500336,36.17009795794729,41.15726879204158,36.17009795794729,41.15726879204158,41.15359250002075,41.15400658303406,41.15726879204158,41.15726879204158,41.240169542026706,41.55411579203792,41.753995417035185,41.753995417035185,41.77130374999251,41.77130374999251,41.937899917014875,left,0.1792613749857992,None,523683,001,2025-03-03_23h39.52.258,motion-adaptation,2024.2.4,None,2025-03-03 23h39.58.634746 -0500,
0.0625,0,5,5,0,left,0.3531788339605555,None,0,5,5,4,41.94415691704489,,,,,,,,,,,,,41.938130417023785,41.94415691704489,41.94415691704489,41.94415691704489,41.94415691704489,41.93890516704414,41.939224750036374,41.94415691704489,41.94415691704489,42.03646624996327,42.322034499957226,42.5419694170123,42.5419694170123,42.5419694170123,42.5419694170123,42.90322004200425,left,0.3531788339605555,None,523683,001,2025-03-03_23h39.52.258,motion-adaptation,2024.2.4,None,2025-03-03 23h39.58.634746 -0500,
0.125,0,6,6,0,left,0.3607270000502467,None,0,6,6,3,42.90624237502925,,,,,,,,,,,,,42.903327582986094,42.90624237502925,42.90624237502925,42.90624237502925,42.90624237502925,42.90362279198598,42.90377854194958,42.90624237502925,42.90624237502925,43.00403966696467,43.30421812494751,43.505310166976415,43.505310166976415,43.52160529198591,43.52160529198591,43.87129549996462,left,0.3607270000502467,None,523683,001,2025-03-03_23h39.52.258,motion-adaptation,2024.2.4,None,2025-03-03 23h39.58.634746 -0500,
1,0,7,7,0,right,0.19080687500536442,None,0,7,7,0,43.87789383297786,,,,,,,,,,,,,43.87155629193876,43.87789383297786,43.87789383297786,43.87789383297786,43.87789383297786,43.87240687501617,43.872792250011116,43.87789383297786,43.87789383297786,43.96983858302701,44.2562952080043,44.47084137494676,44.47084137494676,44.48753779195249,44.48753779195249,44.67305237497203,right,0.19080687500536442,None,523683,001,2025-03-03_23h39.52.258,motion-adaptation,2024.2.4,None,2025-03-03 23h39.58.634746 -0500,
