coherence,direction,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_experiment.started,instructions.started,key_resp_2.started,begin_experiment.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,dots.started,polygon.started,fixation.started,dots.stopped,key_resp.started,fixation_respond.started,polygon.stopped,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.008711708011105657,0.014999291044659913,0.014999291044659913,1.82542520808056,space,1.7764569589635357,None,,,,,,,,,,,,,,454358,001,2025-03-07_13h30.32.343,motion-simple-example,2024.2.4,None,2025-03-07 13h30.37.340262 -0500,
0.1,0,0,0,0,left,1.8672412920277566,None,0,0,0,5,1.944501416059211,,,,,,,,,1.9351526249665767,1.944501416059211,1.944501416059211,1.944501416059211,2.2433672500774264,2.4143270830390975,2.4143270830390975,2.5434842499671504,2.5434842499671504,4.295106083038263,left,1.8672412920277566,None,454358,001,2025-03-07_13h30.32.343,motion-simple-example,2024.2.4,None,2025-03-07 13h30.37.340262 -0500,
1,0,1,1,0,right,0.27313499990850687,None,0,1,1,0,4.322996583068743,,,,,,,,,4.295781125081703,4.39345350000076,4.322996583068743,4.322996583068743,4.68086924997624,4.892893875017762,4.892893875017762,4.913023957982659,4.913023957982659,5.178115583024919,right,0.27313499990850687,None,454358,001,2025-03-07_13h30.32.343,motion-simple-example,2024.2.4,None,2025-03-07 13h30.37.340262 -0500,
0.1,180,2,2,0,left,0.19491699989885092,None,0,2,2,12,5.1840922080446035,,,,,,,,,5.1786265830742195,5.27668333298061,5.1840922080446035,5.1840922080446035,5.5648990829940885,5.776807541027665,5.776807541027665,5.781888541067019,5.781888541067019,5.97805837506894,left,0.19491699989885092,None,454358,001,2025-03-07_13h30.32.343,motion-simple-example,2024.2.4,None,2025-03-07 13h30.37.340262 -0500,
0.2,180,3,3,0,left,0.25439116603229195,None,0,3,3,11,5.983981749974191,,,,,,,,,5.978574166074395,6.076873915968463,5.983981749974191,5.983981749974191,6.378313458058983,6.576819250010885,6.576819250010885,6.580221874988638,6.580221874988638,6.844138708082028,left,0.25439116603229195,None,454358,001,2025-03-07_13h30.32.343,motion-simple-example,2024.2.4,None,2025-03-07 13h30.37.340262 -0500,
0.5,0,4,4,0,right,0.20482516707852483,None,0,4,4,1,6.859113665996119,,,,,,,,,6.844736624974757,6.942786750034429,6.859113665996119,6.859113665996119,7.230865083052777,7.4298454580130056,7.4298454580130056,7.446372958016582,7.446372958016582,7.644771083025262,right,0.20482516707852483,None,454358,001,2025-03-07_13h30.32.343,motion-simple-example,2024.2.4,None,2025-03-07 13h30.37.340262 -0500,
1,180,5,5,0,left,0.14509000000543892,None,0,5,5,7,7.650163541082293,,,,,,,,,7.645252375048585,7.743524875026196,7.650163541082293,7.650163541082293,8.043490958050825,8.243471625028178,8.243471625028178,8.247498458018526,8.247498458018526,8.394956166041084,left,0.14509000000543892,None,454358,001,2025-03-07_13h30.32.343,motion-simple-example,2024.2.4,None,2025-03-07 13h30.37.340262 -0500,
0.5,180,6,6,0,left,0.29533391701988876,None,0,6,6,8,8.40137695800513,,,,,,,,,8.395620458060876,8.492575958021916,8.40137695800513,8.40137695800513,8.779749416047707,8.993505332968198,8.993505332968198,8.997247040970251,8.997247040970251,9.29488287505228,left,0.29533391701988876,None,454358,001,2025-03-07_13h30.32.343,motion-simple-example,2024.2.4,None,2025-03-07 13h30.37.340262 -0500,
0.3,0,7,7,0,right,0.14469116600230336,None,0,7,7,3,9.300825458019972,,,,,,,,,9.295433416031301,9.393532250076532,9.300825458019972,9.300825458019972,9.681847500032745,9.893492207978852,9.893492207978852,9.897509458009154,9.897509458009154,10.047559041064233,right,0.14469116600230336,None,454358,001,2025-03-07_13h30.32.343,motion-simple-example,2024.2.4,None,2025-03-07 13h30.37.340262 -0500,
0.2,0,8,8,0,left,0.24967845797073096,None,0,8,8,4,10.060258332989179,,,,,,,,,10.048773166025057,10.143551832996309,10.060258332989179,10.060258332989179,10.434002291061915,10.646357499994338,10.646357499994338,10.646357499994338,10.646357499994338,10.9140736249974,left,0.24967845797073096,None,454358,001,2025-03-07_13h30.32.343,motion-simple-example,2024.2.4,None,2025-03-07 13h30.37.340262 -0500,
0.3,180,9,9,0,,,,0,9,9,10,10.926256707985885,,,,,,,,,10.914686041069217,11.010155832977034,10.926256707985885,10.926256707985885,11.29776295798365,11.509825541055761,11.509825541055761,11.51312625000719,11.51312625000719,,,,,,,,,,,,
