coherence,direction,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_experiment.started,instructions.started,key_resp_2.started,begin_experiment.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,polygon.started,fixation.started,dots.started,dots.stopped,key_resp.started,fixation_respond.started,polygon.stopped,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.00836320803500712,0.020100667024962604,0.020100667024962604,0.6393947079777718,space,0.602795833023265,None,,,,,,,,,,,,,,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0.5,180,0,0,0,left,0.26818604103755206,None,0,0,0,8,0.7226036669453606,,,,,,,,,0.7093883330235258,0.7226036669453606,0.7226036669453606,0.7362138329772279,1.0230463750194758,1.237004042020999,1.237004042020999,1.3204687499674037,1.3204687499674037,1.5081086669815704,left,0.26818604103755206,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0.25,0,1,1,0,right,0.19000037503428757,None,0,1,1,2,1.5345977080287412,,,,,,,,,1.5087185830343515,1.5345977080287412,1.5345977080287412,1.6064486249815673,1.9037304170196876,2.1207973749842495,2.1207973749842495,2.127093750052154,2.127093750052154,2.3240517920348793,right,0.19000037503428757,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
1,180,2,2,0,left,0.19805954210460186,None,0,2,2,7,2.3372444580309093,,,,,,,,,2.324659000034444,2.3372444580309093,2.3372444580309093,2.423215457936749,2.7204069170402363,2.9245856249472126,2.9245856249472126,2.9245856249472126,2.9245856249472126,3.1379902500193566,left,0.19805954210460186,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0,180,3,3,0,right,0.357155125006102,None,0,3,3,13,3.141960958018899,,,,,,,,,3.138509750016965,3.141960958018899,3.141960958018899,3.238214374985546,3.5371040829923004,3.7233493749517947,3.7233493749517947,3.7395207079825923,3.7395207079825923,4.088657832937315,right,0.357155125006102,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0.125,180,4,4,0,left,0.21188862493727356,None,0,4,4,10,4.09451025002636,,,,,,,,,4.089458249974996,4.09451025002636,4.09451025002636,4.187050333013758,4.472757291980088,4.687854125048034,4.687854125048034,4.704796417034231,4.704796417034231,4.906214207992889,left,0.21188862493727356,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0.03125,180,5,5,0,left,0.18034545797854662,None,0,5,5,12,4.92067008302547,,,,,,,,,4.906929375021718,4.92067008302547,4.92067008302547,5.003684916999191,5.29080683295615,5.522046542027965,5.522046542027965,5.522046542027965,5.522046542027965,5.706579791964032,left,0.18034545797854662,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0.0625,180,6,6,0,left,0.1444342090981081,None,0,6,6,11,5.720358042046428,,,,,,,,,5.707161416998133,5.720358042046428,5.720358042046428,5.803733958047815,6.089291917043738,6.30376154195983,6.30376154195983,6.306363416952081,6.306363416952081,6.457795416936278,left,0.1444342090981081,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0.5,0,7,7,0,right,0.19666966702789068,None,0,7,7,1,6.470562999951653,,,,,,,,,6.458315833006054,6.470562999951653,6.470562999951653,6.571518791955896,6.871431875042617,7.0715497500495985,7.0715497500495985,7.0715497500495985,7.0715497500495985,7.273567833006382,right,0.19666966702789068,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0,0,8,8,0,left,0.33565591601654887,None,0,8,8,6,7.287246166961268,,,,,,,,,7.2740884580416605,7.287246166961268,7.287246166961268,7.373653874965385,7.669760916964151,7.87115412496496,7.87115412496496,7.887546957936138,7.887546957936138,8.223550916998647,left,0.33565591601654887,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0.0625,0,9,9,0,left,0.1672810830641538,None,0,9,9,4,8.237294291961007,,,,,,,,,8.224283749936149,8.237294291961007,8.237294291961007,8.320346624939702,8.621593291987665,8.837888999958523,8.837888999958523,8.837888999958523,8.837888999958523,9.007501999964006,left,0.1672810830641538,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0.125,0,10,10,0,right,0.3412914590444416,None,0,10,10,3,9.020467499969527,,,,,,,,,9.008017875021324,9.020467499969527,9.020467499969527,9.107684999937192,9.421015625004657,9.605961874942295,9.605961874942295,9.605961874942295,9.605961874942295,9.955105916946195,right,0.3412914590444416,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0.25,180,11,11,0,left,0.11899650003761053,None,0,11,11,9,9.960881666978821,,,,,,,,,9.955719375051558,9.960881666978821,9.960881666978821,10.053649042034522,10.355072750011459,10.554433375014924,10.554433375014924,10.571346958051436,10.571346958051436,10.674958957941271,left,0.11899650003761053,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
1,0,12,12,0,right,0.1346314160618931,None,0,12,12,0,10.687139832996763,,,,,,,,,10.675370792043395,10.687139832996763,10.687139832996763,10.77416108304169,11.071785249980167,11.288095541996881,11.288095541996881,11.288095541996881,11.288095541996881,11.424331499962136,right,0.1346314160618931,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0.03125,0,13,13,0,right,0.5758251249790192,None,0,13,13,5,11.437143833027221,,,,,,,,,11.424813832971267,11.437143833027221,11.437143833027221,11.52363658300601,11.820380292017944,12.037644332973287,12.037644332973287,12.037644332973287,12.037644332973287,12.624821583041921,right,0.5758251249790192,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0,0,14,0,1,right,0.1892938748933375,None,1,0,14,6,12.637249666964635,,,,,,,,,12.6255061669508,12.637249666964635,12.637249666964635,12.719858707976528,13.021174583001994,13.238293792004697,13.238293792004697,13.238293792004697,13.238293792004697,13.438624999951571,right,0.1892938748933375,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
1,0,15,1,1,right,0.15184249996673316,None,1,1,15,0,13.443994667031802,,,,,,,,,13.439254791941494,13.443994667031802,13.443994667031802,13.53706462495029,13.8224847499514,14.03763912501745,14.03763912501745,14.04337383294478,14.04337383294478,14.191241499967873,right,0.15184249996673316,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0.25,180,16,2,1,left,0.1509265840286389,None,1,2,16,9,14.203754791989923,,,,,,,,,14.191715624998324,14.203754791989923,14.203754791989923,14.290780458017252,14.58920445793774,14.78853679203894,14.78853679203894,14.78853679203894,14.78853679203894,14.944430000032298,left,0.1509265840286389,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0.5,0,17,3,1,right,0.1459783329628408,None,1,3,17,1,14.953737666946836,,,,,,,,,14.945241166977212,14.953737666946836,14.953737666946836,15.040859375032596,15.338314124965109,15.554308166960254,15.554308166960254,15.554308166960254,15.554308166960254,15.705672167008743,right,0.1459783329628408,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0.03125,0,18,4,1,right,0.28436437505297363,None,1,4,18,5,15.720575332990848,,,,,,,,,15.706176375038922,15.720575332990848,15.720575332990848,15.80369262502063,16.08922441699542,16.321469124988653,16.321469124988653,16.321469124988653,16.321469124988653,16.62277716700919,right,0.28436437505297363,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0,180,19,5,1,left,0.297898041899316,None,1,5,19,13,16.628619833034463,,,,,,,,,16.62337112496607,16.628619833034463,16.628619833034463,16.72032387496438,17.00734645803459,17.220434957998805,17.220434957998805,17.223155249957927,17.223155249957927,17.521995792048983,left,0.297898041899316,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
1,180,20,6,1,left,0.12179045798256993,None,1,6,20,7,17.527569166966714,,,,,,,,,17.522625708021224,17.527569166966714,17.527569166966714,17.62034154194407,17.920910457964055,18.121196042047814,18.121196042047814,18.13752587500494,18.13752587500494,18.256019333028235,left,0.12179045798256993,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0.0625,180,21,7,1,left,0.4790087500587106,None,1,7,21,11,18.270617375033908,,,,,,,,,18.256572957965545,18.270617375033908,18.270617375033908,18.355185125023127,18.653659541974775,18.87140454200562,18.87140454200562,18.87140454200562,18.87140454200562,19.35538441699464,left,0.4790087500587106,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0.25,0,22,8,1,right,0.1623286249814555,None,1,8,22,2,19.361107041942887,,,,,,,,,19.356012957985513,19.361107041942887,19.361107041942887,19.453902167035267,19.73923654202372,19.954592625028454,19.954592625028454,19.971871832967736,19.971871832967736,20.12212404201273,right,0.1623286249814555,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0.5,180,23,9,1,left,0.2112731250235811,None,1,9,23,8,20.128019082942046,,,,,,,,,20.122744582942687,20.128019082942046,20.128019082942046,20.22144879202824,20.521798874950036,20.720321957953274,20.720321957953274,20.723456874955446,20.723456874955446,20.939576582983136,left,0.2112731250235811,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
