coherence,direction,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_experiment.started,instructions.started,key_resp_2.started,begin_experiment.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,dots.started,polygon.started,fixation.started,dots.stopped,key_resp.started,fixation_respond.started,polygon.stopped,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.00817549997009337,0.012356124934740365,0.012356124934740365,0.7398483749711886,space,0.6985150839900598,None,,,,,,,,,,,,,,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
1,180,0,0,0,left,0.5002434159396216,None,0,0,0,7,0.8589307080255821,,,,,,,,,0.8498728750273585,0.8589307080255821,0.8589307080255821,0.8589307080255821,1.1442967909388244,1.327429790981114,1.327429790981114,1.4575662079732865,1.4575662079732865,1.8302148749353364,left,0.5002434159396216,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0,180,1,1,0,right,0.7825659590307623,None,0,1,1,13,1.8418396660126746,,,,,,,,,1.830951749929227,1.929240750032477,1.8418396660126746,1.8418396660126746,2.2250295829726383,2.427202707971446,2.427202707971446,2.427202707971446,2.427202707971446,3.212259165942669,right,0.7825659590307623,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0.2,180,2,2,0,left,0.2534794999519363,None,0,2,2,11,3.224898000014946,,,,,,,,,3.21296266594436,3.31204162503127,3.224898000014946,3.224898000014946,3.608388249995187,3.826206999947317,3.826206999947317,3.826206999947317,3.826206999947317,4.095885624992661,left,0.2534794999519363,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0.1,180,3,3,0,left,0.2852694160537794,None,0,3,3,12,4.108464707969688,,,,,,,,,4.096469374955632,4.191604707972147,4.108464707969688,4.108464707969688,4.477028999943286,4.70900245802477,4.70900245802477,4.70900245802477,4.70900245802477,5.010081541026011,left,0.2852694160537794,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
1,0,4,4,0,right,0.27033345797099173,None,0,4,4,0,5.0240372909465805,,,,,,,,,5.010574290994555,5.1083548329770565,5.0240372909465805,5.0240372909465805,5.393831124994904,5.6098028749693185,5.6098028749693185,5.626369207981043,5.626369207981043,5.883322624955326,right,0.27033345797099173,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0.5,180,5,5,0,left,0.9801427909405902,None,0,5,5,8,5.891613124986179,,,,,,,,,5.884036874980666,5.978714915923774,5.891613124986179,5.891613124986179,6.292688749963418,6.477120165945962,6.477120165945962,6.477120165945962,6.477120165945962,7.46119166596327,left,0.9801427909405902,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0.3,180,6,6,0,left,0.3505646249977872,None,0,6,6,10,7.475201708031818,,,,,,,,,7.461803750018589,7.558251083013602,7.475201708031818,7.475201708031818,7.843704666011035,8.05776870797854,8.05776870797854,8.060350290965289,8.060350290965289,8.410026457975619,left,0.3505646249977872,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0.5,0,7,7,0,right,0.3054033749504015,None,0,7,7,1,8.424331165966578,,,,,,,,,8.410320875002071,8.508264707983471,8.424331165966578,8.424331165966578,8.793805541004986,9.00974570796825,9.00974570796825,9.025074457982555,9.025074457982555,9.32654116593767,right,0.3054033749504015,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0.1,0,8,8,0,left,0.4399714160244912,None,0,8,8,5,9.33213691599667,,,,,,,,,9.32722408301197,9.424402124946937,9.33213691599667,9.33213691599667,9.710748207988217,9.924397540977225,9.924397540977225,9.92781516595278,9.92781516595278,10.366892291000113,left,0.4399714160244912,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
