blobHeight,blobWidth,offset,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Wait.started,start_trial_text.started,start_key_resp.started,Wait.stopped,start_key_resp.keys,start_key_resp.rt,start_key_resp.duration,trial.started,noise.started,blob_1.started,blob_1.stopped,blob_2.started,blob_2.stopped,noise_2.started,key_resp.started,noise.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.009375125053338706,0.02076441701501608,0.02076441701501608,1.3413572079734877,space,1.291118791908957,None,,,,,,,,,,,,,,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
0.2593,0.27,-0.01,0,0,0,left,0.384016124997288,None,0,0,0,29,1.424512792029418,,,,,,,,,1.399549417081289,1.424512792029418,1.4439199169864878,1.707587750046514,1.8071090000448748,2.0564729580655694,2.0903647920349613,2.0903647920349613,2.186730375047773,2.510093874996528,left,0.384016124997288,None,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
1.0,0.07,0.01,1,1,0,right,0.11172450007870793,None,0,1,1,8,2.547347499988973,,,,,,,,,2.5290033330675215,2.547347499988973,2.6149817920522764,2.8639261670177802,2.9607828330481425,3.222548458026722,3.274416416999884,3.274416416999884,3.3033210419816896,3.3881407079752535,right,0.11172450007870793,None,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
0.1045,0.67,0.02,2,2,0,right,0.3583554159849882,None,0,2,2,15,3.4290315830148757,,,,,,,,,3.4093847919721156,3.4290315830148757,3.4953890830511227,3.7569842080119997,3.840652292012237,4.09046095807571,4.139271249994636,4.139271249994636,4.186616750084795,4.505360292037949,right,0.3583554159849882,None,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
0.2593,0.27,0.02,3,3,0,right,0.14243783301208168,None,0,3,3,13,4.563409375026822,,,,,,,,,4.5324650830589235,4.563409375026822,4.6154024170245975,4.876135417027399,4.957254333072342,5.223111749975942,5.255856625037268,5.255856625037268,5.319929833058268,5.405210917000659,right,0.14243783301208168,None,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
0.1489,0.47,-0.08,4,4,0,left,0.2154970420524478,None,0,4,4,42,5.448854292044416,,,,,,,,,5.428062750026584,5.448854292044416,5.516201458056457,5.7764966250397265,5.857717500068247,6.109367542085238,6.15770787501242,6.15770787501242,6.203431167057715,6.375662958016619,left,0.2154970420524478,None,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
0.2593,0.27,-0.08,5,5,0,left,0.21459750004578382,None,0,5,5,41,6.422573333024047,,,,,,,,,6.400459749973379,6.422573333024047,6.475894375005737,6.740322625031695,6.840116458013654,7.0940705420216545,7.126588667044416,7.126588667044416,7.170067375060171,7.354600250022486,left,0.21459750004578382,None,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
0.2593,0.27,0.0,6,6,0,right,0.11669479100964963,None,0,6,6,1,7.411228792043403,,,,,,,,,7.390119292074814,7.411228792043403,7.467399958055466,7.729251750046387,7.811560833011754,8.073234000010416,8.107036791974679,8.107036791974679,8.170041457982734,8.238130792044103,right,0.11669479100964963,None,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
0.2593,0.27,-0.02,7,7,0,left,0.1774696670472622,None,0,7,7,33,8.287590999971144,,,,,,,,,8.261719541973434,8.287590999971144,8.35274866700638,8.607540957978927,8.69079733302351,8.942094875033945,8.989752958063036,8.989752958063036,9.036727458005771,9.171834417036735,left,0.1774696670472622,None,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
1.0,0.07,0.005,8,8,0,right,0.3053922919789329,None,0,8,8,4,9.217413041973487,,,,,,,,,9.195849750074558,9.217413041973487,9.27288312499877,9.52460012503434,9.623689500032924,9.87377595808357,9.92313725000713,9.92313725000713,9.970115875010379,10.23849712498486,right,0.3053922919789329,None,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
