thisRow.t,notes,trial_num,direction_presented_deg,side,response_direction_deg,direction_error_deg,response_time_s,participant,session,date,expName,frameRate,
,,1,315.0,right,17.586560847178987,62.58656084717899,3.5864284159615636,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,2,65.0,left,41.17886290022449,-23.821137099775513,3.6496546660200693,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,3,55.0,left,49.40587549350818,-5.5941245064918235,3.8571324159856886,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,4,170.0,left,156.16854133899218,-13.831458661007815,5.133665167028084,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,5,340.0,right,359.35346044857994,19.353460448579938,3.4832802079617977,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,6,120.0,left,143.66349161599322,23.663491615993223,4.107186457957141,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,7,135.0,left,147.0865910848533,12.086591084853296,5.190348250034731,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,8,95.0,right,147.10715146173555,52.107151461735555,6.249505874991883,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,9,155.0,right,153.48263904040476,-1.517360959595237,4.033529875043314,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,10,55.0,right,31.798600058325235,-23.201399941674765,4.599478290998377,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,11,35.0,right,358.412053125661,-36.587946874339025,4.67386041599093,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,12,95.0,left,88.9149072312865,-6.08509276871348,2.133266083023045,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,13,305.0,right,17.381373112521686,72.38137311252171,2.7329647919978015,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,14,325.0,left,340.8840825762093,15.884082576209323,3.6735450419946574,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,15,110.0,right,133.7657413349574,23.765741334957397,3.3659666249877773,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,16,0.0,left,358.6567999523818,-1.343200047618211,2.640454625012353,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,17,220.0,left,180.8616633376837,-39.138336662316306,4.4665747079998255,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,18,340.0,left,0.9920664937268384,20.99206649372684,6.240056416019797,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,19,165.0,right,169.36837990785642,4.368379907856422,3.9332055000122637,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,20,240.0,right,202.84675225957778,-37.153247740422216,4.98317100002896,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,21,130.0,left,133.32391850501156,3.3239185050115623,3.783403042005375,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,22,65.0,right,49.096910017844834,-15.903089982155166,4.383636459009722,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,23,200.0,right,160.99838642906573,-39.00161357093427,3.782807750045322,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,24,140.0,left,136.39763800039609,-3.6023619996039145,1.7726567499921657,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,25,50.0,left,40.45140587257413,-9.548594127425872,4.0994323750492185,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,26,310.0,right,327.3262855230868,17.326285523086824,1.8070868750219233,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,27,0.0,right,1.729303745123559,1.729303745123559,1.929212000046391,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,28,90.0,right,95.44928813279066,5.449288132790656,3.2670123330317438,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,29,105.0,left,92.78946582610129,-12.210534173898708,6.700253958988469,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,30,290.0,right,325.1743736117722,35.17437361177218,2.5571052079903893,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,31,80.0,left,75.05465081291689,-4.94534918708311,2.3162422080058604,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,32,180.0,left,179.48651829067785,-0.51348170932215,3.0197301669977605,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,33,145.0,right,162.41495527776948,17.41495527776948,3.5234097089851275,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,34,120.0,right,145.0413187156547,25.04131871565471,2.1996659580036066,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,35,235.0,left,214.34206358443225,-20.657936415567747,6.607094375009183,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,36,325.0,right,357.59850242023,32.59850242022998,2.6501411669887602,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,37,310.0,left,322.01736995200514,12.01736995200514,2.0994870419963263,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,38,150.0,left,178.506263518857,28.506263518856997,3.1828250829712488,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
