4.1777 	INFO 	Loaded monitor calibration from ['2023_05_12 15:00']
4.3412 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fa62a060820>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fa62a060700>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1, -1, -1]), colorSpace='rgb', depthBits=8, fullscr=True, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fa64815a6a0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([3024, 1964]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.3413 	EXP 	window1: backgroundImage = ''
4.3413 	EXP 	window1: backgroundFit = 'none'
4.3861 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
4.3861 	EXP 	window1: recordFrameIntervals = False
4.5056 	EXP 	window1: recordFrameIntervals = True
5.3395 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

7.0293 	INFO 	keyboard.Keyboard is using iohub backend.
7.0294 	EXP 	3d-motion-direction-estimation: status = STARTED
7.0374 	EXP 	Created polygon = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-2.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='polygon', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.05, 0.05]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
0.0118 	EXP 	Created dot_left_0 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0, draggable=False, fillColor=array([0. , 0. , 0.5]), fillColorSpace='rgb', fillRGB=array([0. , 0. , 0.5]), interpolate=True, lineColor=array([0. , 0. , 0.5]), lineColorSpace='rgb', lineRGB=array([0. , 0. , 0.5]), lineWidth=1.5, name='dot_left_0', opacity=1.0, ori=0.0, pos=array([ 0.16974319, -0.05151817]), size=array([0.01, 0.01]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
0.0140 	EXP 	Created dot_left_0 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0, draggable=False, fillColor=array([0.5, 0. , 0. ]), fillColorSpace='rgb', fillRGB=array([0.5, 0. , 0. ]), interpolate=True, lineColor=array([0.5, 0. , 0. ]), lineColorSpace='rgb', lineRGB=array([0.5, 0. , 0. ]), lineWidth=1.5, name='dot_left_0', opacity=1.0, ori=0.0, pos=array([ 0.14272955, -0.05151817]), size=array([0.01, 0.01]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
0.0159 	EXP 	Created dot_left_1 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0, draggable=False, fillColor=array([0. , 0. , 0.5]), fillColorSpace='rgb', fillRGB=array([0. , 0. , 0.5]), interpolate=True, lineColor=array([0. , 0. , 0.5]), lineColorSpace='rgb', lineRGB=array([0. , 0. , 0.5]), lineWidth=1.5, name='dot_left_1', opacity=1.0, ori=0.0, pos=array([0.23058192, 0.24218637]), size=array([0.01, 0.01]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
0.0177 	EXP 	Created dot_left_1 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0, draggable=False, fillColor=array([0.5, 0. , 0. ]), fillColorSpace='rgb', fillRGB=array([0.5, 0. , 0. ]), interpolate=True, lineColor=array([0.5, 0. , 0. ]), lineColorSpace='rgb', lineRGB=array([0.5, 0. , 0. ]), lineWidth=1.5, name='dot_left_1', opacity=1.0, ori=0.0, pos=array([0.20388267, 0.24218637]), size=array([0.01, 0.01]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
0.0195 	EXP 	Created dot_left_2 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0, draggable=False, fillColor=array([0. , 0. , 0.5]), fillColorSpace='rgb', fillRGB=array([0. , 0. , 0.5]), interpolate=True, lineColor=array([0. , 0. , 0.5]), lineColorSpace='rgb', lineRGB=array([0. , 0. , 0.5]), lineWidth=1.5, name='dot_left_2', opacity=1.0, ori=0.0, pos=array([0.09998572, 0.00582559]), size=array([0.01, 0.01]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
0.0215 	EXP 	Created dot_left_2 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0, draggable=False, fillColor=array([0.5, 0. , 0. ]), fillColorSpace='rgb', fillRGB=array([0.5, 0. , 0. ]), interpolate=True, lineColor=array([0.5, 0. , 0. ]), lineColorSpace='rgb', lineRGB=array([0.5, 0. , 0. ]), lineWidth=1.5, name='dot_left_2', opacity=1.0, ori=0.0, pos=array([0.09590972, 0.00582559]), size=array([0.01, 0.01]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
0.0234 	EXP 	Created dot_left_3 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0, draggable=False, fillColor=array([0. , 0. , 0.5]), fillColorSpace='rgb', fillRGB=array([0. , 0. , 0.5]), interpolate=True, lineColor=array([0. , 0. , 0.5]), lineColorSpace='rgb', lineRGB=array([0. , 0. , 0.5]), lineWidth=1.5, name='dot_left_3', opacity=1.0, ori=0.0, pos=array([-0.11212247, -0.16613982]), size=array([0.01, 0.01]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
